cvm_fund_id;cvm_class_id;fund_name;cnpj;raw_cnpj;pl;pl_date;product_type;status;manager_name;manager_document;administrator_name;administrator_document;custodian_name;custodian_document;controller_name;controller_document;fund_legal_name;regulation_url;qi_relationship_role
349;33885;VIA PARQUE SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;332266000131;332266000131;258449748.92;2026-03-31;FII;Em Funcionamento Normal;HEDGE INVESTMENTS REAL ESTATE GESTÃO DE RECURSOS LTDA.;26.843.225/0001-01;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;7253654000176;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;7253654000176;;;VIA PARQUE SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
351;33886;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;613094000174;613094000174;-26124980.12;2026-03-31;FII;Em Funcionamento Normal;;;BANCO GENIAL S.A.;45.246.410/0001-55;BANCO GENIAL S.A.;45.246.410/0001-55;;;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
352;33887;CENTRO TÊXTIL INTERNACIONAL FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;762723000128;762723000128;94919473.39;2026-03-31;FII;Em Funcionamento Normal;;;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;72.600.026/0001-81;;;;;CENTRO TÊXTIL INTERNACIONAL FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
356;33888;HERMES FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;868235000108;868235000108;121730892.35;2026-03-31;FII;Em Funcionamento Normal;;;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;72.600.026/0001-81;;;;;HERMES FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
365;33889;GRAND PLAZA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;1201140000190;1201140000190;521097520.28;2026-03-31;FII;Em Funcionamento Normal;;;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;72.600.026/0001-81;;;;;GRAND PLAZA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
368;33890;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO -  RESPONSABILIDADE LIMITADA;1235622000161;1235622000161;3902408380.42;2026-03-31;FII;Em Funcionamento Normal;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;13.486.793/0001-42;;;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO -  RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
380;33891;FII MISTRAL;1497954000114;1497954000114;163833275.14;2026-03-31;FII;Em Funcionamento Normal;;;CORRETORA GERAL DE VALORES E CAMBIO LTDA;92.858.380/0001-18;;;;;FII MISTRAL;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
388;33892;FORTALEZA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;1601918000159;1601918000159;59488306.98;2026-03-31;FII;Em Funcionamento Normal;;;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;72.600.026/0001-81;;;;;FORTALEZA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
390;33893;FII MEMORIAL OFFICE RESPONSABILIDADE LIMITADA;1633741000172;1633741000172;23831045.85;2026-03-31;FII;Em Funcionamento Normal;HEDGE INVESTMENTS REAL ESTATE GESTÃO DE RECURSOS LTDA.;26.843.225/0001-01;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;7253654000176;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;7253654000176;;;FII MEMORIAL OFFICE RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
391;33894;PÁTEO MOINHOS DE VENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;1636325000128;1636325000128;307769109.01;2026-03-31;FII;Em Funcionamento Normal;BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.;7625159000140;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;59.281.253/0001-23;BANCO BTG PACTUAL S/A;30.306.294/0001-45;;;PÁTEO MOINHOS DE VENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg;
