TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;ID_SUBCLASSE;DT_COMPTC;DT_RECEB;TP_DOC;NM_ARQ;ID_DOC;LINK_ARQ;RESULTADO_AUDITORIA
CLASSE FIF/FAPI;04.785.314/0001-06;BANRISUL FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL RESPONSABILIDADE LIMITADA;;2026-01-26;2026-01-26;SGF ANEXO;DOC_ANEXO_35802_40209_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_35802_40209_2026_01.pdf;
CLASSES - FIAGRO;36.642.244/0001-15;BTG PACTUAL AGRO LOGÍSTICA FIAGRO RESPONSABILIDADE LIMITADA;;2026-02-06;2026-02-06;SGF ANEXO;DOC_ANEXO_41755_42789_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41755_42789_2026_02.pdf;
CLASSES - FIAGRO;41.076.607/0001-32;BTG PACTUAL TERRAS AGRÍCOLAS FIAGRO RESPONSABILIDADE LIMITADA;;2026-01-16;2026-01-16;SGF ANEXO;DOC_ANEXO_41304_39087_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41304_39087_2026_01.pdf;
CLASSES - FIAGRO;44.302.001/0001-66;CULTTIVO CRÉDITO AGRÍCOLA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;UOKKY1768411299;2026-01-13;2026-01-13;SGF APENDICE;DOC_APENDICE_46980_8628_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_46980_8628_2026_01.pdf;
CLASSES - FIAGRO;47.669.421/0001-73;KOPPERT FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESPONSABILIDADE LIMITADA;N2G261757011973;2026-01-15;2026-01-15;SGF APENDICE;DOC_APENDICE_41976_8673_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_41976_8673_2026_01.pdf;
CLASSES - FIAGRO;47.669.421/0001-73;KOPPERT FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESPONSABILIDADE LIMITADA;MYXZ71757012223;2026-01-15;2026-01-15;SGF APENDICE;DOC_APENDICE_41977_8674_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_41977_8674_2026_01.pdf;
CLASSES - FIAGRO;47.669.421/0001-73;KOPPERT FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESPONSABILIDADE LIMITADA;SAVFL1757012421;2026-01-15;2026-01-15;SGF APENDICE;DOC_APENDICE_41978_8675_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_41978_8675_2026_01.pdf;
CLASSES - FIAGRO;50.653.785/0001-70;COTRIBÁ FIAGRO;;2026-01-13;2026-01-13;SGF ANEXO;DOC_ANEXO_38255_38818_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_38255_38818_2026_01.pdf;
CLASSES - FIAGRO;61.700.255/0001-51;AGROFIN MILÊNIO EQI FUNDO DE INVESTIMENTO EM COTAS DE FIAGRO;;2026-03-02;2026-03-02;SGF ANEXO;DOC_ANEXO_36810_44382_2026_03.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_36810_44382_2026_03.pdf;
CLASSES - FIAGRO;62.871.390/0001-22;SETE ÁGUAS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS IMOBILIÁRIO RESP LIMITADA;NLT8D1771017950;2026-02-12;2026-02-12;SGF APENDICE;DOC_APENDICE_48413_9831_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48413_9831_2026_02.pdf;
CLASSES - FIAGRO;62.871.390/0001-22;SETE ÁGUAS FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS IMOBILIÁRIO RESP LIMITADA;KQRSB1771018023;2026-02-12;2026-02-12;SGF APENDICE;DOC_APENDICE_48414_9832_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48414_9832_2026_02.pdf;
CLASSES - FIAGRO;63.321.931/0001-01;BTG PACTUAL PROJECT RAÍZES FIAGRO RESPONSABILIDADE LIMITADA;ZISYF1768587494;2026-01-16;2026-01-16;SGF APENDICE;DOC_APENDICE_47070_8699_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47070_8699_2026_01.pdf;
CLASSES - FIAGRO;63.321.931/0001-01;BTG PACTUAL PROJECT RAÍZES FIAGRO RESPONSABILIDADE LIMITADA;HAR3M1768587490;2026-01-16;2026-01-16;SGF APENDICE;DOC_APENDICE_47069_8700_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47069_8700_2026_01.pdf;
CLASSES - FIAGRO;63.792.749/0001-39;AC HIGHLAND AGRO FUNDO DE INVESTIMENTO  FIAGRO - IMOBILIÁRIO;BAILR1771634059;2026-01-19;2026-01-19;SGF APENDICE;DOC_APENDICE_48525_9905_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48525_9905_2026_02.pdf;
CLASSES - FIAGRO;63.792.749/0001-39;AC HIGHLAND AGRO FUNDO DE INVESTIMENTO  FIAGRO - IMOBILIÁRIO;F6RYJ1771634315;2026-01-19;2026-01-19;SGF APENDICE;DOC_APENDICE_48526_9906_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48526_9906_2026_02.pdf;
CLASSES - FIAGRO;63.884.798/0001-00;JATOBÁ FIAGRO DIREITOS CREDITÓRIOS NÃO PADRONIZADO;;2026-02-20;2026-02-20;SGF ANEXO;DOC_ANEXO_40365_43448_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_40365_43448_2026_02.pdf;
CLASSES - FIAGRO;64.098.258/0001-55;FARMTECH AGRO IV FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO RESP LIMITADA;AY9BE1770642254;2026-02-02;2026-02-02;SGF APENDICE;DOC_APENDICE_48242_9654_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48242_9654_2026_02.pdf;
CLASSES - FIAGRO;64.098.258/0001-55;FARMTECH AGRO IV FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO RESP LIMITADA;MZF6Z1770642580;2026-02-02;2026-02-02;SGF APENDICE;DOC_APENDICE_48243_9655_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48243_9655_2026_02.pdf;
CLASSES - FIAGRO;64.098.258/0001-55;FARMTECH AGRO IV FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO RESP LIMITADA;U8KEU1770642639;2026-02-02;2026-02-02;SGF APENDICE;DOC_APENDICE_48245_9656_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48245_9656_2026_02.pdf;
CLASSES - FIAGRO;64.098.258/0001-55;FARMTECH AGRO IV FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO RESP LIMITADA;QSPS91770642752;2026-02-02;2026-02-02;SGF APENDICE;DOC_APENDICE_48246_9657_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48246_9657_2026_02.pdf;
CLASSES - FIAGRO;64.098.258/0001-55;FARMTECH AGRO IV FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - FIAGRO RESP LIMITADA;OS3S01770642843;2026-02-02;2026-02-02;SGF APENDICE;DOC_APENDICE_48247_9659_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48247_9659_2026_02.pdf;
CLASSES - FIAGRO;64.221.570/0001-94;AGRO CRÉDITO AGRÍCOLA VI FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESP LIMITADA;;2026-02-11;2026-02-11;SGF ANEXO;DOC_ANEXO_41040_43414_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41040_43414_2026_02.pdf;
CLASSES - FIAGRO;64.221.570/0001-94;AGRO CRÉDITO AGRÍCOLA VI FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESP LIMITADA;SDSTK1772142695;2026-02-11;2026-02-11;SGF APENDICE;DOC_APENDICE_48702_10030_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48702_10030_2026_02.pdf;
CLASSES - FIAGRO;64.221.570/0001-94;AGRO CRÉDITO AGRÍCOLA VI FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESP LIMITADA;ROAAM1772142920;2026-02-11;2026-02-11;SGF APENDICE;DOC_APENDICE_48703_10031_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48703_10031_2026_02.pdf;
CLASSES - FIAGRO;64.221.570/0001-94;AGRO CRÉDITO AGRÍCOLA VI FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO - RESP LIMITADA;;2026-03-03;2026-03-03;SGF ANEXO;DOC_ANEXO_41040_44383_2026_03.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41040_44383_2026_03.pdf;
CLASSES - FIAGRO;64.221.668/0001-41;VALORA AGRO PRÉ I MASTER FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;;2026-01-16;2026-01-16;SGF ANEXO;DOC_ANEXO_41041_39263_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41041_39263_2026_01.pdf;
CLASSES - FIAGRO;64.221.668/0001-41;VALORA AGRO PRÉ I MASTER FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;2OGZF1768854969;2026-01-16;2026-01-16;SGF APENDICE;DOC_APENDICE_47136_8754_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47136_8754_2026_01.pdf;
CLASSES - FIAGRO;64.221.668/0001-41;VALORA AGRO PRÉ I MASTER FI NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;MYTTZ1768855769;2026-01-16;2026-01-16;SGF APENDICE;DOC_APENDICE_47138_8755_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47138_8755_2026_01.pdf;
CLASSES - FIAGRO;64.288.683/0001-07;TOAGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESPONSABILIDADE LIMITADA;;2026-01-26;2026-01-26;SGF ANEXO;DOC_ANEXO_41073_40660_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41073_40660_2026_01.pdf;
CLASSES - FIAGRO;64.288.683/0001-07;TOAGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESPONSABILIDADE LIMITADA;AFJYM1769629572;2026-01-26;2026-01-26;SGF APENDICE;DOC_APENDICE_47605_9128_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47605_9128_2026_01.pdf;
CLASSES - FIAGRO;64.288.683/0001-07;TOAGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESPONSABILIDADE LIMITADA;SAOXA1769629736;2026-01-26;2026-01-26;SGF APENDICE;DOC_APENDICE_47606_9129_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47606_9129_2026_01.pdf;
CLASSES - FIAGRO;64.288.683/0001-07;TOAGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESPONSABILIDADE LIMITADA;;2026-01-30;2026-01-30;SGF ANEXO;DOC_ANEXO_41073_41705_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41073_41705_2026_02.pdf;
CLASSES - FIAGRO;64.290.120/0001-53;VALORA AGRO PRÉ I FIC DE FI NAS CADEIAS PRODUTIVAS DO AGRO - RESP LIMITADA;;2026-01-14;2026-01-14;SGF ANEXO;DOC_ANEXO_41078_38973_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41078_38973_2026_01.pdf;
CLASSES - FIAGRO;64.290.120/0001-53;VALORA AGRO PRÉ I FIC DE FI NAS CADEIAS PRODUTIVAS DO AGRO - RESP LIMITADA;;2026-01-19;2026-01-19;SGF ANEXO;DOC_ANEXO_41078_39772_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41078_39772_2026_01.pdf;
CLASSES - FIAGRO;64.325.562/0001-98;AC MS AGRO FUNDO DE INVESTIMENTO FIAGRO IMOBILIÁRIO;CQTZX1769832846;2026-01-14;2026-01-14;SGF APENDICE;DOC_APENDICE_47820_9301_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47820_9301_2026_01.pdf;
CLASSES - FIAGRO;64.325.562/0001-98;AC MS AGRO FUNDO DE INVESTIMENTO FIAGRO IMOBILIÁRIO;BJZNY1769833060;2026-01-14;2026-01-14;SGF APENDICE;DOC_APENDICE_47821_9302_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_47821_9302_2026_01.pdf;
CLASSES - FIAGRO;64.406.877/0001-60;BTG PACTUAL ASSET CERES 2 FIAGRO RESPONSABILIDADE LIMITADA;;2026-01-09;2026-01-09;SGF ANEXO;DOC_ANEXO_41151_38389_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41151_38389_2026_01.pdf;
CLASSES - FIAGRO;64.406.877/0001-60;BTG PACTUAL ASSET CERES 2 FIAGRO RESPONSABILIDADE LIMITADA;RFCKQ1768224423;2026-01-12;2026-01-12;SGF APENDICE;DOC_APENDICE_46843_8550_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_46843_8550_2026_01.pdf;
CLASSES - FIAGRO;64.406.877/0001-60;BTG PACTUAL ASSET CERES 2 FIAGRO RESPONSABILIDADE LIMITADA;Q05IQ1768224398;2026-01-12;2026-01-12;SGF APENDICE;DOC_APENDICE_46842_8551_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_46842_8551_2026_01.pdf;
CLASSES - FIAGRO;64.611.656/0001-23;CERES RENDA AGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;;2026-01-20;2026-01-20;SGF ANEXO;DOC_ANEXO_41350_39463_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41350_39463_2026_01.pdf;
CLASSES - FIAGRO;64.611.656/0001-23;CERES RENDA AGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;;2026-02-18;2026-02-18;SGF ANEXO;DOC_ANEXO_41350_42750_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41350_42750_2026_02.pdf;
CLASSES - FIAGRO;64.611.656/0001-23;CERES RENDA AGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA;;2026-03-06;2026-03-06;SGF ANEXO;DOC_ANEXO_41350_45178_2026_03.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41350_45178_2026_03.pdf;
CLASSES - FIAGRO;64.846.535/0001-60;SOLUM FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA;;2026-02-02;2026-02-02;SGF ANEXO;DOC_ANEXO_41547_41027_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_41547_41027_2026_02.pdf;
CLASSES - FIAGRO;64.846.535/0001-60;SOLUM FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA;APGRR1770426765;2026-02-02;2026-02-02;SGF APENDICE;DOC_APENDICE_48238_9649_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48238_9649_2026_02.pdf;
CLASSES - FIAGRO;64.846.535/0001-60;SOLUM FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA;N1HZA1770426768;2026-02-02;2026-02-02;SGF APENDICE;DOC_APENDICE_48239_9650_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48239_9650_2026_02.pdf;
CLASSES - FIAGRO;64.955.712/0001-47;AGRICOLA PARAÍSO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - DC RESP LIMITADA;GQDH71770836528;2026-02-09;2026-02-09;SGF APENDICE;DOC_APENDICE_48348_9745_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48348_9745_2026_02.pdf;
CLASSES - FIAGRO;64.955.712/0001-47;AGRICOLA PARAÍSO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - DC RESP LIMITADA;E8GUE1770836610;2026-02-09;2026-02-09;SGF APENDICE;DOC_APENDICE_48349_9746_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_48349_9746_2026_02.pdf;
CLASSES - FIDC;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;;2026-01-30;2026-01-30;SGF ANEXO;DOC_ANEXO_13178_40976_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_13178_40976_2026_01.pdf;
CLASSES - FIDC;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;W0V3Q1766433823;2026-01-30;2026-01-30;SGF APENDICE;DOC_APENDICE_46207_9289_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_46207_9289_2026_01.pdf;
CLASSES - FIDC;05.754.060/0001-13;CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA;CBFOI1766434019;2026-01-30;2026-01-30;SGF APENDICE;DOC_APENDICE_46208_9291_2026_01.pdf;;https://web.cvm.gov.br/app/fundosweb/subclasses/cotas/apendice/obter/por/arquivo/DOC_APENDICE_46208_9291_2026_01.pdf;
CLASSES - FIDC;07.383.363/0001-00;RIVO FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS;;2026-02-09;2026-02-09;SGF ANEXO;DOC_ANEXO_4028_41890_2026_02.pdf;;https://web.cvm.gov.br/app/fundosweb/classes/cotas/anexo/obter/por/arquivo/DOC_ANEXO_4028_41890_2026_02.pdf;
