cnpj;DT_COMPTC;VL_PATRIM_LIQ
00017024000153;2026-03-12;1172688.18
00068305000135;2026-03-12;40232169.02
00071477000168;2026-03-12;797943446.92
00073041000108;2026-03-12;9181168.57
00083181000167;2026-03-10;27038246815.94
00089915000115;2026-03-12;18007151.75
00102322000141;2026-03-12;8780431.73
00180995000110;2026-03-12;81873278.63
00185259000154;2026-03-12;126573231.67
00194256000187;2026-03-12;4995138958.38
00211294000109;2026-03-12;868504876.21
00222725000124;2026-03-12;62869388.66
00222816000160;2026-03-12;621316230.58
00280302000160;2026-03-12;270351619.18
00306278000191;2026-03-12;3162017845.05
00322699000106;2026-03-12;6320673499.48
00346750000110;2026-03-12;2732464.85
00360293000118;2026-03-12;22995384.67
00524617000106;2026-03-12;28366540.15
00539553000117;2026-03-12;353891981.21
00598452000117;2026-03-12;13344781.41
00601692000123;2026-03-12;41357485.30
00743026000120;2026-03-12;83265558.44
00756851000169;2026-03-12;2483765547.01
00777815000181;2026-03-12;94084570.14
00785365000179;2026-03-12;57459119.82
00793947000105;2026-03-12;40798737.32
00807777000162;2026-03-12;859698433.23
00809773000113;2026-03-12;35735152.39
00812433000141;2026-03-13;5458773874.07
00813342000120;2026-03-12;634164705.55
00817201000186;2026-03-12;14440444.07
00817677000117;2026-03-12;262313274.26
00819875000110;2026-03-12;131522082.20
00819880000122;2026-03-12;22497376.60
00819889000133;2026-03-12;52640667.64
00819901000100;2026-03-12;3230220.81
00819915000123;2026-03-12;122260206.20
00822055000187;2026-03-12;151495750985.94
00822059000165;2026-03-12;648817269.70
00822954000180;2026-03-12;249143970.89
00824198000128;2026-03-12;21269926.19
00825076000156;2026-03-12;1306415.85
00825077000109;2026-03-12;5652260.48
00826901000137;2026-03-13;10100732.97
00826903000126;2026-03-12;139925639.04
00826907000104;2026-03-12;22291903.54
00826911000172;2026-03-12;8592218.17
00828941000118;2026-03-12;2615673.51
00829163000181;2026-03-12;4610411.39
00829280000145;2026-03-12;1927008494.95
00829282000134;2026-03-12;15523638.01
00829288000101;2026-03-12;3105515695.57
00829292000170;2026-03-12;378837749.81
00832407000185;2026-03-12;3009249551.89
00832414000187;2026-03-12;53440897.95
00832424000112;2026-03-12;2584229.92
00832431000114;2026-03-12;22274544.74
00832435000100;2026-03-12;9117818953.02
00832443000149;2026-03-12;48336234.60
00832445000138;2026-03-12;129852809.36
00832453000184;2026-03-13;1624545.72
00832587000103;2026-03-12;32777558.76
00832588000140;2026-03-12;5288733.48
00832696000112;2026-03-12;15751225.22
00834072000134;2026-03-12;160304560.89
00834074000123;2026-03-12;2811951409.51
00836258000122;2026-03-13;131014086.16
00836263000135;2026-03-12;110788631.08
00838266000108;2026-03-12;7662509.21
00838267000152;2026-03-12;31713798.33
00838269000141;2026-03-12;155936797.44
00838868000165;2026-03-12;7217003.72
00840008000166;2026-03-12;52938860.04
00840011000180;2026-03-12;5788054966.85
00842960000107;2026-03-12;39609918.62
00849567000137;2026-03-12;96375259.55
00852311000189;2026-03-12;34870887589.49
00856171000117;2026-03-12;53458216.25
00856751000104;2026-03-12;754428372.20
00856755000192;2026-03-12;1231300310.68
00857361000159;2026-03-12;13763113.20
00885758000154;2026-03-12;101816931.31
00885760000123;2026-03-12;90954857.86
00885762000112;2026-03-12;863632207.61
00888897000131;2026-03-12;626759081.25
00893531000150;2026-03-12;146692134.03
00906044000185;2026-03-13;719709394.76
00947958000194;2026-03-12;15316304.50
00970059000102;2026-03-12;52233686.26
00970074000150;2026-03-12;11838051896.80
00973117000151;2026-03-12;78019532.69
00974902000129;2026-03-12;388476309.08
00975480000106;2026-03-12;699472217.48
00977449000104;2026-03-13;720465757.24
00979181000140;2026-03-12;3076262.89
01045435000115;2026-03-12;3729009.35
01063897000165;2026-03-12;193062296.51
01069185000153;2026-03-12;30766762.73
01071664000104;2026-03-12;13736284.67
01099040000103;2026-03-04;17448381.23
01103103000140;2026-03-12;6555981.42
01107772000190;2026-03-12;22723760.05
01111801000197;2026-03-12;1179887636.48
01114310000108;2026-03-12;37212889.76
01129004000137;2026-03-12;38554523668.66
01135345000115;2026-03-12;51878895.24
01147626000198;2026-03-12;209589144.37
