id,client_id,cvm_fund_id,cvm_class_id,fund_name,cnpj,pl,monthly_revenue,product_type,fund_type_raw,annual_fee_rate,manager_name,administrator_name,status,is_user_fund,regulation_url,revenue_formula,revenue_source,updated_at
d5e5d2d686fd4d30b38fd07fbae4f579,dd767ffef9584b1d8bd32592d414332b,56101,8248,7 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,29.226.532/0001-23,66318412.49,16579.60,FIF,FIF,0.30,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_72348_141907_2025_06.pdf,PL x taxa anual / 12,Calculado por regra do tipo FIF,2026-03-17T12:47:58
2d844de40daa439b9ed8a8dfa7933733,dd767ffef9584b1d8bd32592d414332b,77876,19763,AC FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA,53.257.987/0001-90,171762732.44,42940.68,FIF,FIF,0.30,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,PL x taxa anual / 12,Calculado por regra do tipo FIF,2026-03-17T12:47:58
6c8f54e8fb844838a8963a5b78f2f301,dd767ffef9584b1d8bd32592d414332b,77877,19764,AC FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,53.258.081/0001-90,32764235.62,8191.06,FIF,FIF,0.30,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,PL x taxa anual / 12,Calculado por regra do tipo FIF,2026-03-17T12:47:58
940756bf00a54cd3a8897927c6169acc,dd767ffef9584b1d8bd32592d414332b,12481,31024,ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50.491.214/0001-86,589461587.68,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_73837_160949_2025_09.pdf,,CVM Dados Abertos,2026-03-17T12:15:13
13ec999041bd44399b48190dfdbdc64d,dd767ffef9584b1d8bd32592d414332b,9344,29228,AURUM - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,15.653.649/0001-89,214074839.37,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=938708,,CVM Dados Abertos,2026-03-17T12:15:13
43bf3414ef644c69b89afa3c8b6523ba,dd767ffef9584b1d8bd32592d414332b,14701,32858,BAHREIN I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,61.306.033/0001-59,,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Fase Pré-Operacional,0,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1123915,,CVM Dados Abertos,2026-03-17T12:15:13
214e49d2a23d423fa7bdfb1f3e70452d,dd767ffef9584b1d8bd32592d414332b,12779,31230,BRAVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52.258.922/0001-05,36711284.34,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_75952_132423_2025_04.pdf,,CVM Dados Abertos,2026-03-17T12:15:13
827398de98b24287a90b59d2a08d56cb,dd767ffef9584b1d8bd32592d414332b,11220,30167,CUPERTINO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,39.769.235/0001-88,238098910.37,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1023665,,CVM Dados Abertos,2026-03-17T12:15:13
2ef45be834cb42158cbd3118b50e080a,dd767ffef9584b1d8bd32592d414332b,9887,29470,DIP FINANCING 11 FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,25.246.617/0001-12,0.00,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Liquidação,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,,CVM Dados Abertos,2026-03-17T12:15:13
37f3e2811d274f43b14b5fcb1f7804a8,dd767ffef9584b1d8bd32592d414332b,9831,29438,DIP FINANCING 11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,24.220.859/0001-74,160324899.89,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1087601,,CVM Dados Abertos,2026-03-17T12:15:13
